text,polarity
ممتازة بصراحه مريحة خاصتا في الخرجات الي من غير عربية,1.0
عملي,1.0
اشتريت السلعه ودفعت ثمنها من الماستر كارد وتم ابلاغي انه تم ارجاعها ولا اعلم السبب,-1.0
شنطة جميلة وأنيقة وسعرها مناسب جدا,-1.0
حلوه,1.0
هذا السرير (أو المحجر كما يسمى) ممتاز ... نوم ولعب بأمان خاصة للأطفال الرضع أقل من 3 سنوات.,1.0
مفيده,1.0
مرااا حلوة احلى شيء انها تجمع اكتر من شيء بمكان واحد يعني اغتنام مساحهة ومنظمة ومرتبة وكل شي قريب من البيبي .. واجهت صعوبة بس في فتح السرير .. والطريقة كانت واضحة باليوتيوب اكتبو طريقة تركيب سرير الاطفال,1.0
هذه السلعه ممتازة جدا وفريدة من نوعها,1.0
تم توصيل السلعة الى المنزل بحالة ممتازه في وقت قصير وهي اداة مفيدة جدا لإراحة الأهل من تفقد الأطفال كل فترة,1.0
منتج رائع جداً وانصح فيه,1.0
جهاز جوي كير جهاز جوي كير جهاز جوي كير جهاز جوي كير - مراقبة الطفل عن بعد  جهاز لا يستقبل صوت الطفل بوضوح ابدا وبشكل متقطع,-1.0
جميع منتجات السلامة لطفل ممتازة,1.0
رائعه وعملية. قوة الشفط مناسبة للاطفال غير مؤذية. يمكن استعمالها للانف او للفم لكن يجيب تنظيفها. سهلة الشحن و الحمل و الاستعمال والتنظيف. انصح بإقتنائها.,1.0
السلعة رديئة وقد تلفت من اول استخدام  نوعية الشاش المستخدم خفيف جدا  ويتمزق بسهولة عند اي استخدام واذا تمزق فقدت خاصيتها بمنع البعوض,-1.0
ممتازة للاطفال,1.0
نوعيه ممتازه رائحه منديل ملمسه ناعم ورائحته زكيه وهو عباره عن منديل مرطب مع لوشن  وانا معجب من سوق لسرعه التوصيل انا اشكرا علي الموضوع دا,1.0
مجموعة متنوعة وممتاز مناسب للسفر,1.0
ممتاز ومتعدد الانواع,1.0
