dname,docid,negcount,poscount,predicted,trueclass,wordcount
SUQ,0.0,0.0,0.0,-1.0,-1.0,1.0
SUQ,1.0,0.0,1.0,1.0,1.0,5.0
SUQ,2.0,0.0,2.0,1.0,-1.0,21.0
SUQ,3.0,0.0,1.0,1.0,1.0,10.0
SUQ,4.0,1.0,0.0,-1.0,-1.0,6.0
SUQ,5.0,0.0,2.0,1.0,1.0,5.0
SUQ,6.0,0.0,1.0,1.0,-1.0,3.0
SUQ,7.0,0.0,0.0,-1.0,1.0,2.0
SUQ,8.0,3.0,0.0,-1.0,-1.0,3.0
SUQ,9.0,1.0,0.0,-1.0,-1.0,16.0
SUQ,10.0,0.0,2.0,1.0,-1.0,5.0
SUQ,11.0,2.0,1.0,-1.0,-1.0,51.0
SUQ,12.0,0.0,4.0,1.0,1.0,21.0
SUQ,13.0,1.0,0.0,-1.0,-1.0,1.0
SUQ,14.0,0.0,1.0,-1.0,1.0,2.0
SUQ,15.0,0.0,0.0,-1.0,-1.0,1.0
SUQ,16.0,0.0,2.0,1.0,1.0,17.0
SUQ,17.0,0.0,0.0,-1.0,1.0,16.0
SUQ,18.0,0.0,4.0,1.0,1.0,20.0
SUQ,19.0,0.0,3.0,1.0,1.0,16.0
SUQ,20.0,0.0,1.0,1.0,1.0,19.0
SUQ,21.0,2.0,1.0,-1.0,-1.0,11.0
SUQ,22.0,0.0,2.0,-1.0,-1.0,31.0
SUQ,23.0,0.0,0.0,-1.0,1.0,11.0
SUQ,24.0,0.0,4.0,1.0,1.0,18.0
SUQ,25.0,0.0,4.0,1.0,1.0,14.0
SUQ,26.0,0.0,0.0,-1.0,1.0,2.0
SUQ,27.0,0.0,0.0,-1.0,-1.0,5.0
SUQ,28.0,0.0,3.0,1.0,1.0,16.0
SUQ,29.0,0.0,1.0,1.0,1.0,7.0
SUQ,30.0,0.0,0.0,-1.0,-1.0,10.0
SUQ,31.0,1.0,2.0,-1.0,-1.0,18.0
SUQ,32.0,1.0,3.0,-1.0,-1.0,6.0
SUQ,33.0,1.0,1.0,-1.0,-1.0,5.0
SUQ,34.0,1.0,1.0,-1.0,-1.0,9.0
SUQ,35.0,1.0,1.0,-1.0,1.0,14.0
SUQ,36.0,1.0,0.0,1.0,-1.0,7.0
SUQ,37.0,0.0,2.0,1.0,-1.0,3.0
SUQ,38.0,0.0,2.0,1.0,1.0,13.0
SUQ,39.0,0.0,2.0,1.0,1.0,25.0
SUQ,40.0,0.0,3.0,1.0,1.0,19.0
SUQ,41.0,0.0,0.0,-1.0,1.0,4.0
SUQ,42.0,0.0,3.0,-1.0,1.0,22.0
SUQ,43.0,0.0,1.0,-1.0,-1.0,32.0
SUQ,44.0,0.0,1.0,-1.0,1.0,1.0
SUQ,45.0,0.0,1.0,-1.0,1.0,1.0
SUQ,46.0,0.0,0.0,-1.0,-1.0,4.0
SUQ,47.0,0.0,3.0,-1.0,1.0,6.0
SUQ,48.0,0.0,1.0,-1.0,1.0,5.0
SUQ,49.0,0.0,1.0,1.0,1.0,9.0
SUQ,50.0,1.0,1.0,1.0,-1.0,3.0
SUQ,51.0,0.0,0.0,-1.0,-1.0,8.0
SUQ,52.0,0.0,2.0,1.0,1.0,4.0
