ngram,weight
النعمة,-9.68237809603
أسوأ,-7.9970929144
فاشل,-7.7055954883
سيء,-7.2595301203
تسمم,-6.7901428425
سيئ,-6.57521981714
مطعم تشيلز,-6.08676595497
زفت,-5.77520989035
أسواء,-5.73043514906
سيئة,-5.65827712341
اقل من,-5.57021236911
شي مميز,-5.50116754061
لا انصح,-5.49352386977
أسوء,-5.39285412942
غير,-5.34000710259
النعمه,-5.31007424829
مقرف,-5.23669037866
لن,-5.16582705497
السابق,-5.15379083998
اسوء,-5.14417099342
اسوأ,-5.11382547485
فاشلة,-5.10971152673
ماعجبني,-5.10916108904
ابد,-4.95563468432
نظيف لكن,-4.92703192726
لبس,-4.92622739537
العلم انه,-4.88617724443
لم يكن,-4.79515800344
الزبائن,-4.7816690775
في البيت,-4.66454973963
عليه بس,-4.62291569476
سمعه,-4.62202326556
سيئه,-4.60589197342
طعم.,-4.58891879148
وعادي,-4.574190016
للأسف,-4.55962203146
الله يكرم,-4.53021119174
سوء,-4.49135178587
حوالي,-4.48888360198
عادية,-4.48423902585
لم يعجبني,-4.45352233153
يعلم الله,-4.3433088151
تشيليز,-4.33621114766
لايستحق,-4.22738780602
تسالي,-4.18146459915
اسعاره رخيصه,-4.12899379489
ايش,-4.10729771214
! ؟,-4.07610930799
شيليز,-4.06452298537
وعند,-4.05975802829
عادي ولا,-4.05699289835
ابداً,-4.04672799447
10 سنوات,-4.00874822702
سمبوسة و,-3.98552959604
بعدها,-3.96511039391
لا يستحق,-3.95159023732
لا,-3.93385989282
سكر,-3.91292468262
الرجال,-3.90034880874
خرب,-3.89917496762
تغير,-3.89172331465
time,-3.88686663576
بارد,-3.87312542765
سئ,-3.87225281571
عمالة,-3.86215747403
مايستاهل,-3.84238059129
طعم بس,-3.80942935962
حسبي,-3.78938685682
قهوته,-3.78743449786
كان من,-3.75034208935
فاشله,-3.7416412964
جدا عادي,-3.74042724079
وغالي,-3.73897986269
.. بدون,-3.72500340209
الباب,-3.71509812727
الفشل,-3.71487444361
عليكم انا,-3.69895614975
ولا.,-3.67211304207
حاله,-3.66965739468
الإخوة,-3.649586771
ليس,-3.57353544031
الشي,-3.55751741074
وصلت,-3.53481458932
تعبان,-3.52354527523
تنادي,-3.49944072041
بالمطعم,-3.49788805269
إلى أن,-3.49491111484
واحدة,-3.48410658383
للاسف,-3.45126125222
شعره,-3.38206248772
كبدي,-3.37911868318
بايخ,-3.37455517045
على بعض,-3.37045390736
ما أنصح,-3.35534648863
كله,-3.35198015973
انا.,-3.34498612419
مقاهي,-3.34117304883
عندك احد,-3.33709280593
وطلبت,-3.31419569475
للامال,-3.29810970772
كأنه,-3.29303599314
الزيت,-3.2793218895
والمكرونة,-3.27645113553
فاضي,-3.26499443874
منه,-3.2615010693
كتابة,-3.25779293759
في التصميم,-3.24792244103
نزول,-3.24336914612
جنوني,-3.20544970587
كأنك,-3.17945291034
ريال دفعته,-3.17400824989
يجيكم,-3.15959353671
هذي اول,-3.15231267803
أصبحت,-3.15186060835
تسممت,-3.14261151332
ولا طعم,-3.12997112314
لاحد,-3.12877778601
سئ جدا,-3.10555795454
وفجأة,-3.09995126433
نصها,-3.08510523913
مش,-3.08358229994
أقل,-3.07036280218
الريحان,-3.05782191946
غيرة,-3.05612887601
بنقاليه,-3.05239104753
اطلب منه,-3.05066797712
يا جماعه,-3.04962596877
3/10,-3.04628025159
وجبه,-3.02812111647
مايكون,-2.96910814855
بطني,-2.96271469043
شكله حلو,-2.93965501144
دم,-2.92430107074
خريص,-2.92260147784
وآخر,-2.90497314478
بالوجبة المقدمة,-2.8997511225
دخلت,-2.89767625153
سئية,-2.89764208183
بالله,-2.88857199205
bad,-2.87575608256
دسمه,-2.86918982199
زيت,-2.85727735919
غاليه,-2.84966782817
بطيئة,-2.8485161203
حشره,-2.84677037357
شين,-2.82925251844
قرف,-2.81476255555
روعه لكن,-2.8130041061
طلبت,-2.78794402339
الباربيكيو,-2.76966857211
ممل,-2.76614861925
بدأ,-2.76352468691
اسميه,-2.74755103231
يفتقر,-2.74167706146
من هذا,-2.70362087779
ممتاز جداااااااا,-2.68404618766
انتم,-2.68030575762
بنفسك,-2.67541677413
النظافة,-2.67094513359
قال,-2.66760619076
البلدية,-2.65656027712
ولا له,-2.65049764962
ما فتح,-2.64531553999
50,-2.64333880458
التدخين,-2.64103826676
عااادي,-2.62555806099
عجين,-2.62081099899
يسوى,-2.61347102929
ولم,-2.60493636086
عالخفيف,-2.6010042973
